packet_id,timestamp_ms,temperature,pressure,voltage,status,wall_time
0,0,21.9283,1012.979,3.3007,1,2026-05-27T18:19:24.111129
1,100,22.0475,1013.0118,3.311,1,2026-05-27T18:19:24.211343
2,201,21.9549,1013.0212,3.2991,1,2026-05-27T18:19:24.311825
3,302,22.2767,1012.9689,3.2944,1,2026-05-27T18:19:24.412972
4,402,22.3161,1013.0543,3.2965,1,2026-05-27T18:19:24.513578
5,503,22.0779,1013.0519,3.3113,1,2026-05-27T18:19:24.614492
6,604,22.0589,1013.05,3.3075,1,2026-05-27T18:19:24.715302
7,704,22.0975,1013.1169,3.3026,1,2026-05-27T18:19:24.815619
8,805,22.2763,1013.0176,3.311,1,2026-05-27T18:19:24.916075
9,905,22.3639,1013.1148,3.3203,1,2026-05-27T18:19:25.016693
10,1006,22.1722,1013.1115,3.3118,1,2026-05-27T18:19:25.117415
11,1107,22.2384,1013.1052,3.297,1,2026-05-27T18:19:25.218119
12,1208,22.4297,1013.2,3.3213,1,2026-05-27T18:19:25.319680
13,1309,22.5045,1013.1385,3.3037,1,2026-05-27T18:19:25.420162
14,1409,22.4776,1013.1938,3.3106,1,2026-05-27T18:19:25.520674
15,1510,22.418,1013.1063,3.3361,1,2026-05-27T18:19:25.621138
16,1610,22.5834,1013.2194,3.3211,1,2026-05-27T18:19:25.721626
17,1711,22.5954,1013.0879,3.2949,1,2026-05-27T18:19:25.821909
18,1811,22.5046,1013.1846,3.3211,1,2026-05-27T18:19:25.922107
19,1912,22.4055,1013.1752,3.3115,1,2026-05-27T18:19:26.022776
20,2012,22.8109,1013.0627,3.311,1,2026-05-27T18:19:26.123368
21,2113,22.5999,1013.304,3.3042,1,2026-05-27T18:19:26.224336
22,2214,22.8343,1013.2079,3.3217,1,2026-05-27T18:19:26.325371
23,2315,22.8611,1013.1672,3.3259,1,2026-05-27T18:19:26.425631
24,2415,22.6466,1013.2379,3.313,1,2026-05-27T18:19:26.526401
25,2516,22.6934,1013.2761,3.3126,1,2026-05-27T18:19:26.627072
26,2616,22.7145,1013.2613,3.3198,1,2026-05-27T18:19:26.727611
27,2717,22.5831,1013.1783,3.3271,1,2026-05-27T18:19:26.828403
28,2818,22.8769,1013.3244,3.3248,1,2026-05-27T18:19:26.928758
29,2918,22.9111,1013.2994,3.3359,1,2026-05-27T18:19:27.029446
30,3019,22.9371,1013.3089,3.3219,1,2026-05-27T18:19:27.130014
31,3119,23.1306,1013.3982,3.3283,1,2026-05-27T18:19:27.230620
32,3220,22.9757,1013.3666,3.3434,1,2026-05-27T18:19:27.331169
33,3320,22.9227,1013.3682,3.326,1,2026-05-27T18:19:27.431432
34,3421,23.0438,1013.4122,3.3326,1,2026-05-27T18:19:27.532471
35,3526,22.9088,1013.353,3.3228,1,2026-05-27T18:19:27.636744
36,3626,23.1145,1013.3214,3.3403,1,2026-05-27T18:19:27.737286
37,3727,22.9127,1013.3939,3.3155,1,2026-05-27T18:19:27.837761
38,3827,23.0256,1013.4421,3.3411,1,2026-05-27T18:19:27.938245
